"eBay Motors","eBay Auto"
"Identifiers","Identifiants"
"UPC","Code UPC"
"Seller SKU","Référence article du vendeur"
"ISBN","Code ISBN"
"Parameter the product search will be performed by.","Paramètre utilisé pour la recherche de produits."
"Specify the attribute, which contains necessary information.","Spécifiez l'attribut contenant les informations requises."
"If no results are found by the search criteria above, the additional search will be performed by Magento Product Name.","Si la recherche basée sur les critères ci-dessus ne donne aucun résultat, la recherche supplémentaire sera effectuée par nom du produit Magento."
"Shipping Settings","Paramètres de livraison"
"Shipping","Livraison"
"This section determines information about how your products will be shipped.
                <br/><br/>
                In each method you can choose:
                <ul class=""list"">
                <li><b>Not Set / Not Changeable</b> - is used for the 3rd Party Listings mainly. If this option is chosen, Rakuten.com will be used as a master record.</li>
                <li><b>Disable</b> - disables Shipping method.</li>
                <li><b>Free</b> - automatically sets zero value for Shipping Cost.</li>
                <li><b>Rakuten.com Settings</b> - uses settings, which you have set in your seller account settings on Rakuten.com.</li>
                <li><b>Custom Value</b> - allows setting Shipping Cost manually.</li>
                <li><b>Custom Attribute</b> - allows setting Shipping Cost from the chosen attribute.</li>
                </ul>
                ","Cette section contient des informations sur la livraison des produits.                <br/><br/>                Pour chaque mode, vous pouvez sélectionner :                <ul class=""list"">                <li><b>Non défini/non modifiable</b> - Utilisé principalement pour les annonces tierces. Si cette option est sélectionnée, Rakuten.com sera utilisé comme entrée principale.</li>                <li><b>Désactiver</b> - Permet de désactiver le mode de livraison.</li>                <li><b>Gratuite</b> - Permet de définir une valeur nulle pour les frais de livraison.</li>                <li><b>Paramètres Rakuten.com</b> - Permet d'utiliser les paramètres définis dans les paramètres du compte vendeur sur Rakuten.com.</li>                <li><b>Valeur personnalisée</b> - Permet de définir manuellement les frais de livraison.</li>                <li><b>Attribut personnalisé</b> - Permet de définir les frais de livraison à partir de l'attribut sélectionné.</li>                </ul>                "
"Shipping Method","Mode de livraison"
"Mode","Mode"
"Cost","Coût"
"Free","Gratuit"
"Rakuten.com Settings","Paramètres Rakuten.com"
"Condition of the product(s) you want to list on Rakuten.com.<br/>
                                <b>Note:</b> <i>Not Set</i>&rlm;&rlm; is used for the 3rd Party Listings mainly. If this option is chosen, Rakuten.com will be used as a master record.","Etat des produits à mettre en vente sur Rakuten.com.<br/>                            <b>Remarque :</b> l'option <i>Non défini/non modifiable</i>&rlm;&rlm; est utilisée principalement pour les annonces tierces. Si cette option est sélectionnée, Rakuten.com sera utilisé comme entrée principale."
"Condition of the product(s) you want to list on Rakuten.com.<br/>
                                <b>Note:</b> Condition of Active Items cannot be changed.","Etat des produits à mettre en vente sur Rakuten.com.<br/>                                <b>Remarque :</b> il est impossible de modifier l'état des objets actuellement mis en vente."
"Comment","Commentaire"
"Short description of item(s) condition.<br/>
                            <b>Note:</b> <i>Not Set / Not Changeable</i>&rlm;&rlm; is used for the 3rd Party Listings mainly. If this option is chosen, Rakuten.com will be used as a master record.","Brève description de l'état de l'objet.<br/>                            <b>Remarque :</b> <i>l'option Non défini/non modifiable</i>&rlm;&rlm; est utilisée principalement pour les annonces tierces. Si cette option est sélectionnée, Rakuten.com sera utilisé comme entrée principale."
"Comment Text","Texte du commentaire"
"Description of the condition of the item(s).","Description de l'état des objets."
"Comment Attribute","Attribut Commentaire"
"This section allows you to create a Listing. Listing is a group of items, which have the same
        Attribute Set and were combined to be listed on Rakuten.com.<br/><br/>
        Creating a Listing requires two types of templates (Selling Format and Synchronization) to be created in advance,
        that allows reaching a high level of flexibility in listing and synchronization processes. <br/>

        It is also possible to create templates by clicking the <span style=""text-decoration: underline;"">Add New</span> button next to the appropriate template option. Do not forget to press
        the <span style=""text-decoration: underline;"">Refresh</span> button after the new template creation in order to see the newly added template in the dropdown list.<br/>
        <br/>In the Listing Configuration block you are required to choose appropriate Selling Format Template, which determines quantity and price related data of your Rakuten.com Listings.
        <br/>

        <br/>In the Synchronization Settings block you are required to choose a Synchronization Template and its settings.
        This determines the actions, which have to be done on the Rakuten.com Listings depending on any changes of their products happened in Magento,
        and of their templates that are used in the Listing Configuration settings.<br/>","Vous pouvez créer une annonce dans cette section. Une annonce est un groupe d'objets qui possèdent le même jeu d'attributs et qui sont combinés pour pouvoir être mis en vente sur Rakuten.com.<br/><br/>        La création d'une annonce nécessite deux types de modèles (Format de mise en vente et Synchronisation) qui doivent être créés à l'avance, et qui permettent de bénéficier d'une grande flexibilité dans les procédures de mise en vente et de synchronisation. <br/>        Vous pouvez également créer des modèles en cliquant sur le bouton <span style=""text-decoration: underline;"">Ajouter un nouveau</span> à côté de l'option de modèle appropriée. N'oubliez pas de cliquer sur le bouton <span style=""text-decoration: underline;"">Actualiser</span> après la création du nouveau modèle afin d'inclure ce dernier dans la liste déroulante.<br/>        <br/>Sélectionnez dans la section Configuration des annonces le modèle Format de mise en vente qui détermine les données de quantité et de prix de vos annonces Rakuten.com.        <br/>        <br/>Dans la section Paramètres de synchronisation, choisissez un modèle Synchronisation et définissez ses paramètres. Cela permet de déterminer les actions à exécuter pour les annonces Rakuten.com en fonction des modifications apportées aux produits dans Magento et des modèles utilisés dans les paramètres de configuration des annonces.<br/>"
"Attribute Set of products, which will be listed on Rakuten.com in this Listing.","Jeu d'attributs des produits mis en vente sur Rakuten.com dans cette annonce."
"M2E Pro - Rakuten.com/Magento Integration : Listings","M2E Pro - Intégration Rakuten.com/Magento : Annonces"
"Listing is a group of items, which have the same Attribute Set and were combined to be listed on Rakuten.com.
                            <br/><br/>
                            Creating a Listing requires two types of templates to be created in advance.<br/>
                            You can use the same template for similar products you want to list on Rakuten.com and donâ€™t have to enter the same information over and over again for each product you want to list.
                            <br/><br/>
                            Templates youâ€™ll need in order to list on Rakuten.com:
                            <br/><br/>
                            <ul style=""margin-left: 15px; list-style: disc"">
                                <li><a href=""%s"">Selling Format Template</a> contains information about quantity and price-related data.</li>
                                <li><a href=""%s"">Synchronization Template</a> controls how the information between Rakuten.com and Magento is synchronized and in which cases Rakuten.com listings are revised, relisted or stopped.  This template is not bound to a product group with a specific attribute set, so itâ€™s likely that youâ€™ll only need one template to begin with.</li>
                            </ul>
                            <br/>
                            <b>Note:</b> Only simple products are supported in current version.
                            <br/><br/>","Une annonce est un groupe d'objets qui possèdent le même jeu d'attributs et qui sont combinés pour pouvoir être mis en vente sur Rakuten.com.                            <br/><br/>                            La création d'une annonce nécessite deux types de modèles qui doivent être créés à l'avance.<br/>                            Vous pouvez utiliser le même modèle pour vendre des produits similaires sur Rakuten.com, sans devoir saisir les mêmes informations pour chaque produit à mettre en vente.                            <br/><br/>                            Modèles nécessaires pour mettre des objets en vente sur Rakuten.com :                            <br/><br/>                            <ul style=""margin-left: 15px; list-style: disc"">                                <li>Le <a href=""%s"">modèle Format de mise en vente</a> inclut des informations relatives à la quantité et au prix.</li>                                <li>Le <a href=""%s"">modèle Synchronisation</a> définit les paramètres de synchronisation entre Rakuten.com et Magento ainsi que les conditions de modification des annonces, de remise en vente des objets et d'arrêt des ventes sur Rakuten.com. Ce modèle n'étant pas lié à un groupe de produits avec jeu d'attributs spécifique, vous n'aurez probablement besoin que d'un seul modèle pour commencer.</li>                            </ul>                            <br/>                            <b>Remarque :</b> seuls les produits simples sont pris en charge par la version actuelle.                            <br/><br/>"
"This section contains information about product items of chosen listing and their statuses on Rakuten.com.
You can manage items by choosing appropriate actions from the Actions dropdown of the grid and manage Listing and its settings by using buttons in the top right corner.","Cette section comprend des informations sur les produits de l'annonce choisie et leur statut sur Rakuten.com. Pour la gestion des objets, sélectionnez les options appropriées dans la liste déroulante Actions du tableau. Pour la gestion de l'annonce et de ses paramètres, utilisez les boutons situés dans le coin supérieur droit."
"Recipient Name","Nom du destinataire"
"Company","Société"
"This page contains all orders imported from Rakuten.com.
Use Rakuten.com Accounts dropdown to filter Rakuten.com orders by accounts.<br/>
If Magento Order or Invoice was not created automatically,
you can create them manually by using appropriate options in the Action dropdown.<br/><br/>
<b>Note:</b> Automatic creation of Magento Orders and Invoices executes according to Rakuten.com Accounts settings in %s > Configuration > Rakuten.com Accounts > Orders.","Cette page comprend toutes les commandes importées à partir de Rakuten.com. Utilisez la liste déroulante Comptes Rakuten.com pour filtrer les commandes Rakuten.com par compte.<br/>Si la commande ou la facture Magento n'a pas été créée automatiquement, vous pouvez la créer manuellement à l'aide des options appropriées de la liste déroulante Actions.<br/><br/><b>Remarque :</b> la création automatique des commandes et factures Magento s'effectue selon les paramètres des comptes Rakuten.com définis dans le menu %s > Configuration > Comptes Rakuten.com > Commandes."
"Rakuten.com Order","Commande Rakuten.com"
"T","M"
"Shipping & Handling","Livraison et expédition"
"This section allows you to set preferences of data synchronization.<br/>
    You have to enable / disable synchronization tasks, which will be automatically performed for all Rakuten.com accounts, and <span style=""text-decoration: underline;"">Save Settings</span>.<br/>
    To run necessary task manually, click the <span style=""text-decoration: underline;"">Run Now</span> button, to run all tasks at once, click <span style=""text-decoration: underline;"">Run Enabled Now</span>.<br/>
    <br/><b>Note:</b> Cron job must be set up for automatic synchronization. Otherwise, you will have to perform the synchronization manually.","Vous pouvez définir vos préférences de synchronisation des données dans cette section.<br/>    Vous devez activer/désactiver les tâches de synchronisation qui seront exécutées automatiquement pour tous les comptes Rakuten.com, puis sélectionner <span style=""text-decoration: underline;"">Enregistrer les paramètres</span>.<br/>    Pour exécuter manuellement les tâches requises, cliquez sur le bouton <span style=""text-decoration: underline;"">Exécuter maintenant</span>. Pour exécuter simultanément toutes les tâches, cliquez sur le bouton <span style=""text-decoration: underline;"">Exécuter les éléments activés</span>.<br/>    <br/><b>Remarque :</b> la tâche cron doit être configurée pour la synchronisation automatique. A défaut, vous devrez effectuer la synchronisation manuellement."
"If catalog updates in your magento performed using import/export tools, custom scripts or direct changes in database,
                    then, you can use <a target=""_blank"" href=""%s#magento_block_configuration_settings_advanced"">""Track Direct Database Changes""</a> %s functionality to detect changes in products' price and quantity.","Si le catalogue est mis à jour dans Magento à l'aide des outils d'importation/d'exportation, de scripts personnalisés ou de modifications directes dans la base de données, vous pouvez utiliser la fonctionnalité <a target=""_blank"" href=""%s#magento_block_configuration_settings_advanced"">« Suivre les modifications directes de la base de données »</a> %s pour détecter les modifications de prix et de quantité des produits."
"Updates and synchronizes Rakuten.com Listings according to<br/>Synchronization Templates' rules.","Permet de mettre à jour et de synchroniser les annonces Rakuten.com sur la base des<br/>règles des modèles Synchronisation."
"If your Rakuten.com listings for some reason were asynchronized with the products in Magento, <a href=""javascript:"" onclick=""%s"">turn on</a> the Revise All action to catch data up.
        <br/>Revise is performed by the Inventory Synchronization, 100 items per a cycle.
    <br/><br/>
        ","Si vos annonces Rakuten.com ont été désynchronisées des produits dans Magento, <a href=""javascript:"" onclick=""%s"">activez</a> la tâche Modifier tout pour récupérer les données.        <br/>La tâche est exécutée par la synchronisation de l'inventaire au rythme de 100 objets par cycle.    <br/><br/>        "
"Imports and synchronizes Rakuten.com Orders for accounts,<br/>which have enabled Import Rakuten.com Orders in their<br/>Accounts settings.","Permet d'importer et de synchroniser les commandes Rakuten.com pour les comptes<br/>dont l'option Importer les commandes Rakuten.com est activée dans les<br/>paramètres des comptes."
"Imports and synchronizes 3rd Party Listings for Rakuten.com<br/>accounts, which have enabled Import 3rd Party Listings<br/>in their Accounts settings.","Permet d'importer et de synchroniser les annonces tierces pour les comptes Rakuten.com<br/>dont l'option Importer les annonces tierces est activée<br/>dans les paramètres des comptes."
"New SKU Template (Beta)","Modèle Nouvelle référence article (bêta)"
"These type of templates is used for creation of new products on Rakuten.com.
        <ul class=""list"">
        <li>to create a new template, click on <i>Add New SKU Template</i>;</li>
        <li>to assign one of the existing templates to products click on <i>Assing To This Template</i> link.</li>
        </ul>
        <b>Note:</b> Attribute Sets of New ASIN Template must include all Attribute Sets of current M2E Listing to be assigned.","Ces modèles sont utilisés pour la création de nouveaux produits sur Rakuten.com.        <ul class=""list"">        <li>Pour créer un nouveau modèle, cliquez sur <i>Ajouter un modèle Nouvelle référence article</i>.</li>        <li>Pour affecter l'un des modèles existants aux produits, cliquez sur le lien <i>Affecter à ce modèle</i>.</li>        </ul>        <b>Remarque :</b> les jeux d'attributs du modèle Nouveau code ASIN doivent inclure tous les jeux d'attributs de l'annonce M2E à affecter."
"Specifics' Attributes","Attributs Caractéristiques"
"At least one of the following attributes must be chosen:","Vous devez sélectionner au moins un des attributs suivants :"
"At least one of these attributes is required.","Au moins un de ces attributs est obligatoire."
"Multiple values â€‹â€‹must be separated by comma.","Les valeurs multiples doivent être séparées par une virgule."
"Any integer value","Tout nombre entier"
"Any decimal value","Toute valeur décimale"
"Any string value","Toute valeur de chaîne"
"The category does not have attributes.","La catégorie ne contient aucun attribut."
"Select Category first.","Sélectionnez d'abord une catégorie."
" Description is used to design your items' description on Rakuten.com. The more information you provide the easier it is for buyers to make a choice.
        <br/>
        <br/>
        It is possible to choose a Product Description or Product Short Description, which will be taken from Magento. Or you can create a Custom Description by adding necessary information.
    "," La description est utilisée pour créer la description des objets sur Rakuten.com. Plus vous fournirez d'informations, plus les acheteurs pourront choisir facilement.        <br/>        <br/>        Vous pouvez choisir une Description du produit ou une Brève description du produit qui sera extraite de Magento. Vous pouvez également créer une Description personnalisée en ajoutant les informations nécessaires.    "
"Details","Details"
"Item's title that buyers will see on Rakuten.com listing.","Titre de l'objet que les acheteurs pourront voir dans l'annonce Rakuten.com."
"The name of the brand/manufacturer of your product.","Nom de la marque/du fabricant du produit."
"Manufacturer Name","Nom du fabricant"
"Manufacturer Part No.","Référence du fabricant"
"The unique part number assigned to the product by the manufacturer.
                                <br/>Use only numbers and letters without spaces.","Numéro de référence unique affecté au produit par le fabricant.                                <br/>Utilisez uniquement des chiffres et des lettres, sans espaces."
"Weight","Poids"
"The shipping weight in pounds for product(s). Only numeric value.","Poids à l'expédition en livres pour les produits. Valeur numérique uniquement."
"Image you will see on your Rakuten.com listing.","Photo qui s'affichera dans l'annonce Rakuten.com."
"Choose Media Image Attribute or Attribute, that contains absolute url.
                                                                        <br/>i.e. http://mymagentostore.com/images/baseimage.jpg","Sélectionnez l'attribut Multimédia ou l'attribut contenant l'URL absolue.                                                                        <br/>soit http://maboutiquemagento.com/images/imagedebase.jpg"
"Choose Text, Multiple Select or Dropdown type attribute. In Text type attribute urls must be separated with comma.
                                  <br/>e.g.  http://mymagentostore.com/images/baseimage1.jpg,  http://mymagentostore.com/images/baseimage2.jpg","Sélectionnez un type d'attribut : Texte, Choix multiple ou Liste déroulante. Pour le type Texte, les URL doivent être séparées par une virgule.                                  <br/>Par exemple, http://maboutiquemagento.com/images/imagedebase1.jpg, http://maboutiquemagento.com/images/imagedebase2.jpg"
"Keywords And Features","Mots-clés et caractéristiques"
"Search keywords that will help customers to find your product. Separated by comma.","Recherchez des mots-clés qui permettront aux acheteurs de trouver vos produits. Valeurs séparées par une virgule."
"Features","Caractéristiques"
"Custom Features","Caractéristiques personnalisées"
"Max. 250 characters.","Max. 250 caractères."
"Should be one block of text or a single paragraph. Do not use special characters and html tags.<br/>
                                                                        Limited to 8'000 characters.","Un bloc de texte ou un seul paragraphe. N'utilisez pas de caractères spéciaux ni de balises HTML.<br/>                                                                        Champ limité à 8 000 caractères."
"This tab contains the main information on products you want to list: Attribute Set
 (it must be the same as M2E Listing has to be assigned), Products Identifiers and
 Category in which the products have to be listed.<br/><br/>
The category either can be chosen by <u>Browsing</u> all categories from the list or can be found with <u>Searching
 tool</u> by entering keywords.","Cet onglet contient les informations principales sur les produits que vous souhaitez mettre en vente : jeu d'attributs (doit être identique étant donné que l'annonce M2E doit être affectée), identifiants des produits et catégorie de mise en vente des produits.<br/><br/>Pour choisir la catégorie, vous pouvez <u>parcourir</u> toutes les catégories dans la liste ou les rechercher à l'aide de l'<u>outil de recherche</u> en saisissant des mots-clés."
"Invalid input data. Integer value required.","Données incorrectes. Nombre entier obligatoire."
"Invalid input data. Decimal value required. Example 12.05","Données incorrectes. Valeur décimale obligatoire. Exemple n° 12.05"
"Invalid input data. String value required.","Données incorrectes. Valeur de chaîne obligatoire."
"The specified title is already used for another New SKU Template.","Le titre spécifié est déjà utilisé pour un autre modèle Nouvelle référence article."
"All of your product images should meet the following rules:","Toutes les photos des produits doivent remplir les conditions suivantes :"
"Must be at least 500 pixels in width or height","Au moins 500 pixels en largeur ou en hauteur"
"No more than 5 megabytes (MB) in size","Taille limitée à 5 mégaoctets (Mo)"
"In the JPG/JPEG format","Format JPG/JPEG"
"Only contain the product being sold","Illustration du produit mis en vente uniquement"
"Be in focus with realistic color with a pure white background","Photo nette, couleur réaliste et arrière-plan blanc neutre"
"Cannot contain additional text, graphics or inset images","Sans texte, photo ni incrustation supplémentaire"
"Text to describe the product. Should be one block of text or a single paragraph. Do not use special characters and html tags","Texte décrivant le produit. Un bloc de texte ou un seul paragraphe. N'utilisez pas de caractères spéciaux ni de balises HTML."
"Notes:","Remarques :"
"Attribute Sets of products which will be listed on Rakuten using this template.","Jeux d'attributs des produits qui seront mis en vente sur Rakuten à l'aide de ce modèle."
"Seller defined alpha-numeric string uniquely identifying the product. Needs to be unique across all products and manufacturers.<br />
                                                                         Example: KDK6490CAM","Chaîne alphanumérique définie par le vendeur permettant d'identifier le produit de manière unique. Doit être unique pour l'ensemble des produits et des fabricants.<br />                                                                         Exemple : KDK6490CAM"
"GTIN (UPC or EAN)","Code article international (UPC ou EAN)"
"To sell without UPC code you have to get permission from Rakuten.com.","Pour vendre un objet sans code UPC, vous devez avoir l'autorisation de Rakuten.com."
"The GTIN (UPC or EAN) compatible product identifier must be at least 12 digits in length.","Le code article international (UPC ou EAN) doit comporter au moins 12 chiffres."
"International book identifier. Use only digits in this field.","Code article international pour un livre. Utilisez uniquement des chiffres dans ce champ."
"ASIN","Code ASIN"
"Rakuten.com product identifier.","Code produit Rakuten.com."
"Product Set","Groupe de produits"
"Product Set ID","Code de groupe de produits"
"Rakuten.com groups products together in the same family by this parameter.<br/>
                                <b>For ex.</b>, a product ""T-shirt"" has 4 different colors. As Rakuten.com does not<br/>have parent/child product relationships each of these products is treated as totally separate.
                                <br/>By assigning all 4 T-shirts the same Product Set ID, all of them will be placed on the same<br/>Rakuten.com web page with pull down menu of selecting color.","Rakuten.com utilise ce paramètre pour grouper des produits au sein d'une même famille.<br/>                                <b>Par ex.</b>, un produit « T-shirt » disponible en 4 couleurs différentes. Etant donné que Rakuten.com n'utilise pas<br/>de relations produits principales/secondaires, chacun de ces produits est traité séparément.                                <br/>Si le même code de groupe de produits est affecté aux 4 T-shirts, tous seront placés sur la même<br/>page Web Rakuten.com avec un menu déroulant de sélection de la couleur."
"Enter the words, which describe the best your product and click on the Search button.<br/>
Founded categories will be displayed for selection. ","Saisissez les termes qui décrivent le mieux votre produit, puis cliquez sur le bouton Rechercher.<br/>Vous pouvez faire votre choix parmi les catégories trouvées. "
"Selling Format Template contains price-related data and quantity for the items, which will be listed on Rakuten.com.<br/><br/>
Next to each price options dropdown there is a box for Price Change. Price Change is a value you want the Magento Price to be modified while listing on Rakuten.com.<br/><br/>
<b>Examples:</b><br/>
If you want the price on Rakuten.com to be greater by 15% than the price in Magento, you should set +15% in the Price Change field.<br/>
<i>Rakuten.com Price = Magento Price + Magento Price * 0.15</i>
<br/>
If you want the price on Rakuten.com to be less by 10 currency units than the price in Magento, you should set -10 in the Price Change field.<br/>
<i>Rakuten.com Price = Magento Price - 10</i>
<br/>
If you want the price on Rakuten.com to be multiplied by coefficient 1.2, you should set 1.2 in the Price Change field.
<br/>
<i>Rakuten.com Price = Magento Price * 1.2.</i>
<br/><br/>
<b>Note:</b> If the Special Price is chosen in the <span style=""text-decoration: underline;"">Price</span> option, but it is not set in Magento Product settings or it is set but it has already expired, the Product Price is used instead.
<br/><br/>
<b>Note:</b> Attributes must contain only numeric values.
","Le modèle Format de mise en vente contient des données sur le prix et la quantité pour les objets qui seront mis en vente sur Rakuten.com.<br/><br/>Un champ Changement de prix se trouve à côté de chaque liste déroulante pour les options de prix. Ce champ permet de définir la valeur de modification du prix Magento lors de la publication d'une annonce sur Rakuten.com.<br/><br/><b>Exemples:</b><br/>Si vous souhaitez que le prix sur Rakuten.com soit supérieur de 15 % au prix dans Magento, saisissez +15 % dans le champ Changement de prix.<br/><i>Prix Rakuten.com = prix Magento + prix Magento Price * 0,15</i><br/>Si vous souhaitez que le prix sur Rakuten.com soit inférieur de 10 unités au prix dans Magento, saisissez -10 dans le champ Changement de prix.<br/><i>Prix Rakuten.com = prix Magento - 10</i><br/>Si vous souhaitez que le prix sur Rakuten.com soit multiplié par un facteur de 1,2, définissez 1,2 dans le champ Changement de prix.<br/><i>Prix Rakuten.com = prix Magento * 1,2.</i><br/><br/><b>Remarque :</b> si Prix spécial est sélectionné pour l'option <span style=""text-decoration: underline;"">Prix</span>, mais qu'il n'est pas défini dans les paramètres du produit Magento ou qu'il est défini, mais que sa période de validité est arrivée à expiration, le prix du produit sera utilisé.<br/><br/><b>Remarque :</b> les attributs doivent contenir uniquement des valeurs numériques."
"The price of products in Rakuten.com listing(s).","Prix des produits dans les annonces Rakuten.com."
"The price of products in Rakuten.com listing(s).<br/><b>Note:</b> The Final Price is only used for Simple Products.","Prix des produits dans les annonces Rakuten.com.<br/><b>Remarque :</b> le prix final est utilisé uniquement pour les produits simples."
"Attribute Sets of products which will be listed on Rakuten.com<br />using this template.","Jeux d'attributs des produits qui seront mis en vente sur Rakuten.com<br />sur la base de ce modèle."
"Products quantity in Rakuten.com listing(s).","Quantité de produits dans les annonces Rakuten.com."
"<i>Enables</i> to set the quantity that will be sent on Rakuten.com.","<i>Permet de</i> définir la quantité à envoyer sur Rakuten.com."
"If you have 5 pieces in stock but set a max qty of 2 to be listed, a qty of 2 will be listed on Rakuten.com.
                                                                            <br/>If you have 1 piece in stock but max qty is set to 3, only 1 will be listed on Rakuten.com.","Si vous avez 5 exemplaires en stock et que la quantité maximum à mettre en vente est 2, seuls 2 exemplaires seront mis en vente sur Rakuten.com.                                                                            <br/>Si vous avez 1 exemplaire en stock et que la quantité maximum est 3, seul 1 exemplaire sera mis en vente sur Rakuten.com."
"Synchronization Template includes rules and conditions which determine Listing behavior on Rakuten.com.<br/>
    List, Revise, Relist and Stop Rules have to be specified in this template.<br/><br/>
    <b>List Action</b> - at first this action to be executed for each item in M2E Listings, which has <i>Not Listed</i> status and its settings meet the List Condition. If an item was not listed for some reason, autosynchronization will attempt
    to list it again only if Product Status, Stock Availability or Quantity is changed.
    <br/><br/>
    <b>Note:</b> Inventory Synchronization setting must be enabled in Synchronization (Configuration > Synchronization).
    Otherwise, Synchronization Template Rules will not take effect.","Le modèle Synchronisation inclut les règles et conditions qui déterminent le comportement des annonces sur Rakuten.com.<br/>    Les règles de mise en vente, de modification des annonces, de remise en vente des objets et d'arrêt des ventes doivent être définies dans ce modèle.<br/><br/>    <b>Tâche Mettre en vente</b> - Cette tâche doit être appliquée à tous les objets des annonces M2E dont le statut est <i>Non mis en vente</i> et dont les paramètres remplissent les conditions de mise en vente. Lorsqu'un objet n'a pas été mis en vente pour une raison quelconque, la synchronisation automatique essaiera de le mettre à nouveau en vente uniquement si le statut du produit, la disponibilité ou la quantité a changé.    <br/><br/>    <b>Remarque :</b> le paramètre Synchronisation de l'inventaire doit être activé dans le menu Synchronisation (Configuration > Synchronisation). A défaut, les règles du modèle Synchronisation ne seront pas appliquées."
"Relist Rules define the conditions at which Rakuten.com items will be relisted.<br/>","Les règles de remise en vente déterminent les conditions de remise en vente des objets Rakuten.com.<br/>"
"Revise Rules are the conditions, at which automatic full and partial listings revising features are enabled.
<br/>If the certain condition is enabled (<i>Yes</i> is chosen in appropriate line) and met,
then Rakuten.com Listings, which were listed using current Synchronization Template,
will be automatically fully or partially updated.<br/>
    <ul class=""list"">
        <li><b>Partial Revise</b> - contains list of product details, which changes you want to be reflected on Rakuten.com.</li>
        <li><b>Full Revise</b> - contains groups of M2E settings. If any data of these groups (Selling Format Template, Listing Channel Settings) is changed, then listings, which use these templates in their settings, will be automatically fully revised.</li>
    </ul>","Les règles de modification correspondent aux conditions qui régissent l'activation des fonctionnalités automatiques de modification complète et partielle des annonces.<br/>Si une condition spécifique est activée (option <i>Oui</i> sélectionnée sur la ligne correspondante) et remplie, les annonces Rakuten.com publiées à l'aide du modèle Synchronisation actuel sont modifiées complètement ou partiellement de manière automatique.<br/>    <ul class=""list"">        <li><b>Modification partielle</b> - Contient la liste des détails du produit dont vous souhaitez répercuter les modifications sur Rakuten.com.</li>        <li><b>Modification complète</b> - Contient des groupes de paramètres M2E. Si les données de ces groupes (Modèle Format de mise en vente, Paramètres du canal de mise en vente) sont modifiées, les annonces qui utilisent ces modèles dans leurs paramètres sont modifiées complètement de manière automatique.</li>    </ul>"
"Automatically revises quantity on Rakuten.com listing(s) when the quantity or attribute for quantity of its product is changed in Magento.","Modifie automatiquement la quantité dans les annonces Rakuten.com en cas de modification de la quantité ou de l'attribut de quantité du produit correspondant dans Magento."
"Updates Rakuten.com qty only when the Condition you set below is met.
                            <br/><b>Note:</b> By using this option you can significantly increase Synchronization performance.","Permet de mettre à jour la quantité Rakuten.com uniquement lorsque les conditions que vous avez définies sont remplies.                            <br/><b>Remarque :</b> l'utilisation de cette option permet d'augmenter de manière significative les performances de la synchronisation."
"Automatically revises price on Rakuten.com listing(s) when the price(s) or attribute(s) for price(s) of its product is (are) changed in Magento.","Modifie automatiquement le prix dans les annonces Rakuten.com en cas de modification du prix ou de l'attribut de prix du produit correspondant dans Magento."
"Automatically revises Rakuten.com listing(s) if its Selling Format Template was changed.","Modifie automatiquement les annonces Rakuten.com en cas de modification du modèle Format de mise en vente."
"Automatically revises Rakuten.com listing(s) if its Listing Settings was changed.","Modifie automatiquement les annonces Rakuten.com en cas de modification des paramètres de mise en vente."
"Stop Rules define the conditions when Rakuten.com items listing must be
    stopped, depending on Magento product state.<br/><br/>
    <b>Note:</b> If all Stop Conditions are set to <i>No</i> or <i>No Action</i>, then the stop option for Rakuten.com items is disabled.<br/>
    If all Stop Conditions are enabled, then an item will be stopped if at least one of Stop Conditions is met.","Les règles d'arrêt correspondent aux conditions qui régissent l'arrêt de la vente des objets Rakuten.com en fonction du statut des produits Magento.<br/><br/>    <b>Remarque :</b> si vous sélectionnez <i>Non</i> ou <i>Aucune action</i> pour toutes les conditions d'arrêt, l'option d'arrêt des annonces Rakuten.com est désactivée.<br/>    Si toutes les conditions d'arrêt sont activées, la vente d'un objet est arrêtée lorsqu'au moins une des conditions d'arrêt est remplie."
"Please select categories.","Veuillez sélectionner des catégories."
"This page contains all created Listings. Use Templates filters to sort Listings by templates that they use in their settings.<br/>
    You can perform different Actions on a single Listing or on a group of Listings.<br/>
    Actions for a single Listing you can find in the Action column of the grid. Choose a necessary option in the appropriate Listing dropdown to execute it.<br/>
    Mass actions are in the Actions dropdown at the top right corner of the grid. Select check-boxes of appropriate items,
    choose an Action from the dropdown and press the <span style=""text-decoration: underline;"">Submit</span> button.","Cette page contient toutes les annonces créées. Utilisez les filtres de modèles pour trier les annonces selon le modèle utilisé dans leurs paramètres.<br/>    Vous pouvez exécuter différentes tâches sur une seule annonce ou sur un groupe d'annonces.<br/>    Les tâches pour une seule annonce sont accessibles dans la colonne Action du tableau. Choisissez une option dans la liste déroulante de l'annonce appropriée pour l'exécuter.<br/>    Les tâches pour un groupe d'annonces sont accessibles dans la liste déroulante Actions dans le coin supérieur droit du tableau. Cochez les cases des objets appropriés, choisissez une tâche dans la liste déroulante et cliquez sur le bouton <span style=""text-decoration: underline;"">Soumettre</span>."
"This Log contains all information about actions, which were done on all M2E Pro Listings and their items.","Ce journal contient toutes les informations sur les actions exécutées sur toutes les annonces M2E Pro et les objets correspondants."
"This Log contains all information about actions, which were done on 3rd Party Listings.","Ce journal contient toutes les informations sur les actions exécutées sur les annonces tierces."
