"eBay Motors","eBay Motori"
"Attribute Sets of products which will be listed on Rakuten.com<br />using this template.","Insiemi di attributi dei prodotti che verranno messi in vendita su Rakuten.com<br />utilizzando questo modello."
"Products quantity in Rakuten.com listing(s).","Quantità di prodotti nelle inserzioni Rakuten.com."
"<i>Enables</i> to set the quantity that will be sent on Rakuten.com.","<i>Consente</i> di impostare la quantità da inviare su Rakuten.com."
"If you have 5 pieces in stock but set a max qty of 2 to be listed, a qty of 2 will be listed on Rakuten.com.
                                                                            <br/>If you have 1 piece in stock but max qty is set to 3, only 1 will be listed on Rakuten.com.","Se disponi di 5 oggetti ma imposti una quantità massima pari a 2, solo 2 di essi verranno messi in vendita su Rakuten.com.                                                                            <br/>Se disponi di 1 oggetto ma imposti una quantità massima pari a 3, ne verrà comunque messo in vendita solo uno su Rakuten.com."
"Synchronization Template includes rules and conditions which determine Listing behavior on Rakuten.com.<br/>
    List, Revise, Relist and Stop Rules have to be specified in this template.<br/><br/>
    <b>List Action</b> - at first this action to be executed for each item in M2E Listings, which has <i>Not Listed</i> status and its settings meet the List Condition. If an item was not listed for some reason, autosynchronization will attempt
    to list it again only if Product Status, Stock Availability or Quantity is changed.
    <br/><br/>
    <b>Note:</b> Inventory Synchronization setting must be enabled in Synchronization (Configuration > Synchronization).
    Otherwise, Synchronization Template Rules will not take effect.","Nel modello di sincronizzazione sono incluse regole e condizioni che determinano il comportamento dell'inserzione su Rakuten.com.<br/>    In questo modello devono essere specificate le regole di inserzione, modifica, rimessa in vendita e interruzione.<br/><br/>    <b>Azione inserzione</b>: questa azione deve essere inizialmente eseguita per ogni oggetto <i>non messo in vendita</i> nelle inserzioni M2E le cui impostazioni soddisfano le condizioni di messa in vendita. Se un oggetto non è stato messo in vendita per qualche motivo, durante la sincronizzazione automatica verrà effettuato un nuovo tentativo di messa in vendita solo se sono state apportate modifiche allo stato, alla disponibilità o alla quantità del prodotto.    <br/><br/>    <b>Nota:</b> l'impostazione Sincronizzazione magazzino deve essere abilitata in Sincronizzazione (Configurazione > Sincronizzazione). In caso contrario, le regole del modello di sincronizzazione non verranno applicate."
"Relist Rules define the conditions at which Rakuten.com items will be relisted.<br/>","Le regole di rimessa in vendita definiscono le condizioni alle quali gli oggetti Rakuten.com verranno rimessi in vendita.<br/>"
"Revise Rules are the conditions, at which automatic full and partial listings revising features are enabled.
<br/>If the certain condition is enabled (<i>Yes</i> is chosen in appropriate line) and met,
then Rakuten.com Listings, which were listed using current Synchronization Template,
will be automatically fully or partially updated.<br/>
    <ul class=""list"">
        <li><b>Partial Revise</b> - contains list of product details, which changes you want to be reflected on Rakuten.com.</li>
        <li><b>Full Revise</b> - contains groups of M2E settings. If any data of these groups (Selling Format Template, Listing Channel Settings) is changed, then listings, which use these templates in their settings, will be automatically fully revised.</li>
    </ul>","Le regole di modifica rappresentano le condizioni in base alle quali vengono abilitate le funzioni di modifica delle inserzioni automatiche complete o parziali.<br/>Se la condizione stabilita viene abilitata (viene scelto <i>Sì</i> nella riga appropriata) e soddisfatta, le inserzioni Rakuten.com che erano state pubblicate utilizzando il modello di sincronizzazione, verranno aggiornate completamente o parzialmente in modo automatico.<br/>    <ul class=""list"">        <li><b>Modifica parziale</b>: contiene un elenco di dettagli dei prodotti dei quali desideri che le modifiche vengano riflesse in Rakuten.com.</li>        <li><b>Modifica completa</b>: contiene gruppi di impostazioni M2E Se alcuni dati di questi gruppi (modello di formato di vendita, impostazioni del canale per le inserzioni) vengono modificati, le inserzioni, che utilizzano questi modelli nelle relative impostazioni, verranno modificate completamente in automatico.</li>    </ul>"
"Automatically revises quantity on Rakuten.com listing(s) when the quantity or attribute for quantity of its product is changed in Magento.","Modifica automaticamente la quantità nelle inserzioni Rakuten.com quando la quantità o il relativo attributo del prodotto corrispondente viene modificato in Magento."
"Updates Rakuten.com qty only when the Condition you set below is met.
                            <br/><b>Note:</b> By using this option you can significantly increase Synchronization performance.","Aggiorna la quantità Rakuten.com solo se la condizione impostata viene soddisfatta.                            <br/><b>Nota:</b> questa opzione consente di migliorare sensibilmente le prestazioni di sincronizzazione."
"Automatically revises price on Rakuten.com listing(s) when the price(s) or attribute(s) for price(s) of its product is (are) changed in Magento.","Modifica automaticamente il prezzo nelle inserzioni Rakuten.com quando i prezzi o i relativi attributi del prodotto corrispondente vengono modificati in Magento."
"Automatically revises Rakuten.com listing(s) if its Selling Format Template was changed.","Modifica automaticamente le inserzioni Rakuten.com se è stato modificato il relativo modello del formato di vendita."
"Automatically revises Rakuten.com listing(s) if its Listing Settings was changed.","Modifica automaticamente le inserzioni Rakuten.com se sono state modificate le relative impostazioni."
"Stop Rules define the conditions when Rakuten.com items listing must be
    stopped, depending on Magento product state.<br/><br/>
    <b>Note:</b> If all Stop Conditions are set to <i>No</i> or <i>No Action</i>, then the stop option for Rakuten.com items is disabled.<br/>
    If all Stop Conditions are enabled, then an item will be stopped if at least one of Stop Conditions is met.","Le regole di interruzione definiscono le condizioni in base alle quali deve essere interrotta la messa in vendita degli oggetti Rakuten.com, a seconda dello stato del prodotto Magento.<br/><br/>    <b>Nota:</b> se tutte le condizioni di interruzione vengono impostate su <i>No</i> o <i>Nessuna azione</i>, l'opzione di interruzione per gli oggetti Rakuten.com viene disabilitata.<br/>    Se tutte le condizioni di interruzione sono abilitate, un oggetto verrà interrotto se viene soddisfatta almeno una delle condizioni di interruzione."
"Please select categories.","Seleziona le categorie."
"This page contains all created Listings. Use Templates filters to sort Listings by templates that they use in their settings.<br/>
    You can perform different Actions on a single Listing or on a group of Listings.<br/>
    Actions for a single Listing you can find in the Action column of the grid. Choose a necessary option in the appropriate Listing dropdown to execute it.<br/>
    Mass actions are in the Actions dropdown at the top right corner of the grid. Select check-boxes of appropriate items,
    choose an Action from the dropdown and press the <span style=""text-decoration: underline;"">Submit</span> button.","In questa pagina sono contenute tutte le inserzioni create. Usa i filtri dei modelli per ordinare le inserzioni in base ai modelli utilizzati nelle relative impostazioni.<br/>    Puoi eseguire diverse azioni su una singola inserzione o su un gruppo di inserzioni.<br/>    Azioni per un'inserzione singola disponibili nella colonna Azione della griglia. Scegli un'opzione necessaria nel menu a discesa Inserzione appropriato per eseguirla.<br/>    Le azioni in massa sono disponibili nel menu a discesa Azioni nell'angolo superiore destro della griglia. Seleziona le caselle di testo degli oggetti appropriati, scegli un'azione nel menu a discesa e premi il pulsante <span style=""text-decoration: underline;"">Invia</span>."
"This Log contains all information about actions, which were done on all M2E Pro Listings and their items.","Questo registro contiene tutte le informazioni sulle azioni che sono state effettuate su tutte le inserzioni M2E Pro e i relativi oggetti."
"This Log contains all information about actions, which were done on 3rd Party Listings.","Questo registro contiene tutte le informazioni sulle azioni che sono state effettuate sulle inserzioni di terze parti."
"Edit Variation","Modifica variante"
"To list product variations you have to map each variation to a child product on Amazon.
        <br/>Here you can edit the variations you have selected earlier.","Per elencare le varianti del prodotto devi associare ogni variante a un prodotto secondario su Amazon.        <br/>In questa sezione puoi modificare le varianti selezionate in precedenza."
"Variations","Varianti"
"Manage Variations","Gestisci varianti"
"To list product variations you have to map each variation to a child product on Amazon.
<br/>Here you should specify the variations you want to sell. Then, use the Search ASIN/ISBN tool to map it.","Per elencare le varianti del prodotto devi associare ogni variante a un prodotto secondario su Amazon.<br/>In questa sezione devi specificare le varianti che desideri vendere. In seguito, utilizza lo strumento di ricerca ASIN/ISBN per associarle."
"This section contains information on all Listings' Items.<br/>
    You can search for necessary Items and manage them from their Listings: click on the icon in the Manage column on appropriate
    line to navigate to the Listing, that contains chosen product.","In questa sezione sono contenute le informazioni su tutti gli oggetti delle inserzioni.<br/>    Puoi cercare gli oggetti necessari e gestirli dalle relative inserzioni: clicca sull'icona nella colonna Gestione nella riga appropriata per passare all'inserzione che contiene il prodotto scelto."
"Marketplaces settings have been saved.","Le impostazioni del mercato sono state salvate."
"You must select at least one marketplace you will work with.","Devi selezionare almeno un mercato in cui opererai."
"Another Synchronization Is Already Running.","È già in esecuzione un'altra sincronizzazione."
"Getting information. Please wait ...","Acquisizione di informazioni. Attendi..."
"Preparing to start. Please wait ...","Preparazione all'avvio. Attendi..."
"Synchronization has successfully ended.","Sincronizzazione completata correttamente."
"Synchronization ended with warnings. <a target=""_blank"" href=""%url%"">View log</a> for details.","Sincronizzazione completata con avvisi. <a target=""_blank"" href=""%url%"">Vedi il registro</a> per ulteriori informazioni."
"Synchronization ended with errors. <a target=""_blank"" href=""%url%"">View log</a> for details.","Sincronizzazione completata con errori. <a target=""_blank"" href=""%url%"">Vedi il registro</a> per ulteriori informazioni."
"This section allows you to set up the Marketplaces you will work with.<br/>
    Enable certain marketplaces and press the <span style=""text-decoration: underline;"">Save And Update</span> button in the top right corner, all necessary marketplace data will be downloaded and synchronized with M2E Pro settings.<br/><br/>
    It is recommended to update marketplaces when any marketplace changes are announced. <br/><br/>
    <b>Note:</b> Installation and update processes might be time-consuming, depending on the number of enabled marketplaces and your server environment. <br/>
    ","In questa sezione è possibile impostare i mercati in cui opererai.<br/>    Abilita i mercati stabiliti e premi il pulsante <span style=""text-decoration: underline;"">Salva e aggiorna</span> nell'angolo superiore destro; tutti i dati necessari del mercato verranno scaricati e sincronizzati con le impostazioni di M2E Pro.<br/><br/>    Quando viene annunciato l'apporto di modifiche ai mercati, è consigliabile aggiornarli. <br/><br/>    <b>Nota:</b> i processi di installazione e aggiornamento possono richiedere molto tempo, a seconda del numero di mercati abilitati e del tuo ambiente server. <br/>    "
"This Log contains Orders history information.","Questo registro contiene informazioni sulla cronologia degli ordini."
"On this page you have to provide the access to your Play.com account M2E Pro could interact with Play.com.","In questa pagina devi fornire l'accesso al tuo account Play.com tramite il quale M2E Pro può interagire con Play.com."
"M2E Pro was not able to get access to the Play.com account. Please, make sure, that you enter correct Play.com login and password. If everything is correct but you still unable to access your account, please contact Play.com Customer Service Department on 0845 800 1020 (UK only) or +44 (0)1534 877595 (outside UK).","Impossibile accedere all'account Play.com tramite M2E Pro. Assicurati di aver inserito il nome utente e la password corretti di Play.com. Se i dati inseriti sono corretti ma non riesci a effettuare l'accesso al tuo account, contatta l'Assistenza clienti di Play.com al numero 0845 800 1020 (solo Regno Unito) o al numero +44 (0)1534 877595 (al di fuori del Regno Unito)."
"Title or identifier of Play.com account for your internal use.","Titolo o identificatore dell'account Play.com per uso interno."
"You must select and update Play.com marketplace to get access to this section.","Per poter accedere a questa sezione, seleziona e aggiorna il mercato Play.com."
"WEB/API Access","Accesso WEB/API"
"Account Type","Tipo di conto"
"PlayTrade / ProTrade","PlayTrade/ProTrade"
"Merchant Toolbox","Casella strumenti venditore"
"Type of your Play.com account.","Tipo di account Play.com."
"Login to your Play.com account.","Accedi al tuo account Play.com."
"Password to your Play.com account.","Password dell'account Play.com."
"The 3rd Party Listings are the items, which were listed on Play.com without using M2E Pro extension. <br/><br/>
        To allow importing of these listings for the current Play.com Account, set Import 3rd Party Listings to <i>Yes</i>.<br/>
        Imported Listings can be found in %1$s > Manage Listings > 3rd Party Listings.<br/><br/>
        <b>Note:</b> The 3rd Party Listings Synchronization must be enabled in %1$s > Configuration > Synchronization.<br/><br/>
        To map the products of the 3rd Party Listings with existing products in Magento by Reference Code, Play.com Listing title or another identifier, set Product Mapping to <i>Yes</i> and choose appropriate attribute(s).
        A Magento product will be mapped if at least one of the chosen attributes meets the same value in Play.com Listing as it has in Magento.
        <br/><br/>
        After mapping Play.com Listing can be automatically moved from the 3rd Party Listings to M2E Pro Listings for further management.<br/><br/>

        <b>Note:</b> Auto mapping and moving actions are performed only once during the first 3rd Party Listings Synchronization.
        Afterwards, it can be performed manually on the 3rd Party Listings page (%1$s > Manage Listings > 3rd Party Listings).","Le inserzioni di terze parti sono gli oggetti che sono stati messi in vendita su Play.com senza utilizzare l'estensione M2E Pro. <br/><br/>        Per consentire l'importazione di queste inserzioni per l'account Play.com corrente, imposta Importa inserzioni di terze parti su <i>Sì</i>.<br/>        Le inserzioni importate sono disponibili in %1$s > Gestione inserzioni > Inserzioni di terze parti.<br/><br/>        <b>Nota:</b> la sincronizzazione delle inserzioni di terze parti deve essere abilitata in %1$s > Configurazione > Sincronizzazione.<br/><br/>        Per associare prodotti delle inserzioni di terze parti ai prodotti esistenti in Magento tramite codice di riferimento, titolo inserzione Play.com o un altro identificatore, imposta Associazione prodotti su <i>Sì</i> e scegli gli attributi appropriati. Un prodotto Magento sarà associato se almeno uno degli attributi scelti soddisfa lo stesso valore presente in Inserzione Play.com e in Magento.        <br/><br/>        Dopo l'associazione, l'inserzione Play.com può essere spostata automaticamente da Inserzioni di terze parti a Inserzioni M2E Pro per un'ulteriore gestione.<br/><br/>        <b>Nota:</b> le azioni di associazione e spostamento automatici vengono effettuate solo una volta durante la prima sincronizzazione delle inserzioni di terze parti. Successivamente, può essere effettuata manualmente nella pagina                                Inserzioni di terze parti (%s > Gestione inserzioni > Inserzioni di terze parti)."
"Maps Play.com product with Magento product.","Associa il prodotto Play.com al prodotto Magento."
"Attributes Of Mapping Play.com Items To Magento Products","Attributi dell'associazione di oggetti Play.com con prodotti Magento"
"Auto Moving Mapped Play.com Items To M2E Listings","Lo spostamento automatico ha associato gli oggetti Play.com alle inserzioni M2E"
"This section allows you automatically move mapped Play.com Items in default created M2E Listing and synchronize their Prices and Quantities with Magento values at once they have been moved.","Questa sezione consente di spostare automaticamente oggetti Play.com associati a inserzioni M2E create in modo predefinito e sincronizzare i relativi prezzi e quantità con i valori Magento non appena vengono spostati."
"Move Mapped Play.com Items","Sposta oggetti Play.com associati"
"Automatically moves Play.com Listings from 3rd Party Listings to default created M2E Listing.","Sposta automaticamente le inserzioni Play.com dalle inserzioni di terze parti all'inserzione M2E creata in modo predefinito."
"Updates Price and / or Quantity of Play.com Listing with Magento values.","Aggiorna il prezzo e/o la quantità dell'inserzione Play.com con i valori di Magento."
"This tab contains settings of Play.com Orders, Play.com Customers import; Magento Orders and Products creation.<br/>
If you set Import Play.com Orders to <i>Yes</i>, a new Play.com order will be imported to the system and can be found in %1$s > Sales > Orders.<br/><br/>
It is possible to allow auto creation of Magento Orders based on imported Play.com Orders for products listed by Other Software.<br/><br/>
<b>Note:</b> The Product Stock QTY only reduces after Magento Order is created.<br/>
These type of orders can be managed as typical Magento Orders in Magento > Sales > Orders.<br/><br/>
<b>Note:</b> To receive orders from Play.com, Order Synchronization must be enabled in %1$s > Configuration > Synchronization.","Questa scheda contiene le impostazioni relative agli ordini Play.com, all'importazione di clienti Play.com, agli ordini Magento e alla creazione di prodotti.<br/>Se imposti Importa ordini Play.com su <i>Sì</i>, nel sistema verrà importato un nuovo ordine Play.com che sarà disponibile in %1$s > Vendite > Ordini.<br/><br/>È possibile consentire la creazione automatica di ordini Magento in base agli ordini Play.com importati per i prodotti messi in vendita tramite altri software.<br/><br/><b>Nota:</b> la quantità di scorte dei prodotti viene ridotta solo dopo la creazione di un ordine Magento.<br/>Questi tipi di ordini possono essere gestiti come ordini Magento classici in Magento > Vendite > Ordini.<br/><br/><b>Nota:</b> per ricevere ordini da Play.com, in %1$s > Configurazione > Sincronizzazione è necessario abilitare Sincronizzazione ordini."
"Import Play.com Orders","Importa ordini Play.com"
"Allows importing orders from Play.com to M2E Pro.","Consente l'importazione di ordini da Play.com a M2E Pro."
"<b>Note:</b> Only simple products without variations can be created in Magento. If there is a product with variations on Play.com, M2E Pro creates different simple products for each variation.","<b>Nota:</b> in Magento è possibile creare solo prodotti semplici senza varianti. Se su Play.com è presente un prodotto con varianti, in M2E Pro vengono creati più prodotti semplici, uno per ogni variante."
"Use the Reserve QTY option to prevent the item being sold, before Magento Order created (as the Product Stock QTY only reduces after Magento Order creation). It removes items from Magento Stock at once Play.com Order comes from Play.com.
                Reserve qty will be used when Magento Order is created or released when the term of qty reservation has expired.
                ","Utilizza l'opzione Prenota quantità per evitare che l'oggetto venga venduto prima della creazione di un ordine Magento (dato che la quantità di scorte dei prodotti viene ridotta soltanto dopo la creazione dell'ordine Magento). Rimuove gli oggetti dalle scorte Magento non appena vengono ricevuti da Play.com i relativi ordini. La prenotazione della quantità verrà utilizzata al momento della creazione o dello sblocco dell'ordine Magento quando il termine della prenotazione è scaduto.                "
"There are several ways to specify a customer for which Magento Orders will be created:
                <ul class=""list"">
                    <li><b>Guest Account</b> - the system does not require a customer account to be created. Default Guest Account will be defined as a customer. <br/>
                    <b>Note:</b> The Guest Checkout option must be enabled in Magento. (<i>Yes</i> must be chosen in the Allow Guest Checkout option in Magento > System > Configuration > Sales > Checkout tab). </li>
                    <li><b>Predefined Customer</b> - the system uses one predefined customer for all Play.com orders related to this account. You will be required
                    to provide an ID of the existing Customer, which you can find in Magento > Customers > Manage Customers table.</li>
                    <li><b>Create New</b> - a new customer will be created in Magento, using Play.com customer data of Play.com Order.
                    <br/><b>Note:</b> A unique customer identifier is his e-mail address. If the one already exists among Magento customers e-mails,
                    the system uses this customer as owner of order and links order to him. A new customer will not be created.</li>
                </ul>","Ci sono diversi modi per specificare un cliente per il quale verranno creati degli ordini Magento:                <ul class=""list"">                    <li><b>Account ospite</b>: il sistema non richiede la creazione di un account cliente. Come cliente sarà definito l'account ospite predefinito. <br/>                    <b>Nota:</b> in Magento deve essere abilitata l'opzione Compra come utente non registrato. (Nella scheda Abilita opzione Compra come utente non registrato in Magento > Sistema > Configurazione > Vendite > Pagamento, è necessario selezionare <i>Sì</i>). </li>                    <li><b>Cliente predefinito</b>: il sistema utilizza un cliente predefinito per tutti gli ordini Play.com correlati a questo account. Dovrai fornire un ID del cliente esistente, disponibile in Magento > Clienti > tabella Gestisci clienti.</li>                    <li><b>Crea nuovo</b>: in Magento verrà creato un nuovo cliente utilizzando i dati del cliente Play.com che ha effettuato l'ordine.                    <br/><b>Nota:</b> l'indirizzo e-mail rappresenta un identificatore univoco del cliente. Se questo indirizzo è già presente tra quelli dei clienti Magento, il sistema utilizza questo cliente come proprietario dell'ordine a cui, pertanto, viene collegato. Non verrà creato alcun nuovo cliente.</li>                </ul>"
"Necessary emails will be sent according to Magento settings in Magento > System > Configuration > Sales Emails.<br/>
                                                                         Hold Ctrl button, to choose more, than one option.","Le email necessarie verranno inviate in base alle impostazioni di Magento in Magento > Sistema > Configurazione > Email di vendita.<br/>                                                                         Per scegliere più opzioni tieni premuto il tasto CTRL."
"This section allows you to choose tax settings for Magento Order:
                    <ul class=""list"">
                        <li><b>Play.com</b> - Magento Order(s) uses tax settings from Play.com Listing(s).</li>
                        <li><b>Magento</b> - Magento Order(s) uses Magento tax settings.</li>
                        <li><b>Play.com & Magento</b> - if there are tax settings in Play.com Order, they are used in Magento Order(s), otherwise, Magento tax settings are used.</li>
                        <li><b>None</b> - Play.com and Magento tax settings are ignored.</li>
                    </ul>
                ","Questa sezione consente di selezionare le impostazioni fiscali per gli ordini Magento:                    <ul class=""list"">                        <li><b>Play.com</b>: gli ordini Magento utilizzano le impostazioni fiscali delle inserzioni Play.com.</li>                        <li><b>Magento</b>: gli ordini Magento utilizzano le impostazioni fiscali di Magento.</li>                        <li><b>Play.com e Magento</b>: se nell'ordine Play.com sono presenti impostazioni fiscali, queste vengono utilizzate negli ordini Magento, altrimenti vengono utilizzate le impostazioni fiscali di Magento.</li>                        <li><b>Nessuna</b>: le impostazioni fiscali di Play.com e Magento vengono ignorate.</li>                    </ul>                "
"Play.com","Play.com"
"Play.com & Magento","Play.com e Magento"
"In this block you can configure mapping between Play.com Order state and Magento Order statuses.
                Depending on the state of Play.com Order you can manually determine certain statuses for Magento Order and enable automatic Shipment and Invoice
                creation by selecting appropriate check-boxes, or use predefined default settings. (i.e. Play.com: Order is Shipped -> Magento Order is Completed).<br/> ","In questo blocco puoi configurare l'associazione tra lo stato dell'ordine Play.com e gli stati dell'ordine Magento. A seconda dello stato dell'ordine Play.com, puoi determinare manualmente alcuni stati per l'ordine Magento, nonché abilitare la creazione automatica della spedizione e della fattura selezionando le caselle di controllo appropriate o utilizzando le impostazioni predefinite. (ad esempio Play.com: Ordine inviato -> Ordine Magento completato).<br/> "
"Order Status is Sold","Lo stato dell'ordine è Venduto"
"Order Status is Posted","Lo stato dell'ordine è Pubblicato"
"Actions, which have to be done to products added to categories.","Azioni da effettuare con i prodotti aggiunti alle categorie."
"Stop on Play.com","Interrompi su Play.com"
"Stop on Play.com and Delete from Listing","Interrompi su Play.com ed elimina dall'inserzione"
"Actions, which have to be done to listed products deleted from categories.","Azioni da effettuare con i prodotti messi in vendita eliminati dalle categorie."
"This section contains Play.com Listings, which belong to registered Play.com Accounts (%1$s > Configuration > Play.com Accounts) and were listed not by M2E Pro extension.<br/>
You can map these Listings to existing products in Magento and move them to another M2E Listings for further management. For that use single actions on appropriate Listing record or use mass Actions in the top right corner.<br/><br/>
<b>Note:</b> To import Play.com 3rd Party Listings the 3rd Party Listings Import must be enabled in account's settings
(%1$s > Configuration > Play.com Accounts > General tab) and the 3rd Party Listings Synchronization must be enabled in %1$s > Configuration > Synchronization.","In questa sezione sono contenute le inserzioni Play.com che appartengono ad account Play.com registrati (%1$s > Configurazione > Account Play.com) e che non sono state pubblicate tramite l'estensione M2E Pro.<br/>Puoi associare queste inserzioni a prodotti esistenti in Magento e spostarle nelle altre inserzioni M2E per un'ulteriore gestione. Per farlo, utilizza le singole azioni nel registro delle inserzioni adeguato o le azioni di massa nell'angolo in alto a destra.<br/><br/><b>Nota:</b> per importare le inserzioni di terze parti Play.com, devi abilitare Importazione inserzioni di terze parti nelle impostazioni dell'account (%1$s > Configurazione > Account Play.com > scheda Generale), nonché Sincronizzazione inserzioni di terze parti in %1$s > Configurazione > Sincronizzazione."
"Enter product name, ISBN, EAN or UPC","Immetti il nome del prodotto e il numero ISBN, EAN o UPC."
"There was an error during previous automatic Play ID search:","Si è verificato un errore durante la precedente ricerca automatica dell'ID Play:"
"Assign Play ID Manually","Assegna manualmente ID Play"
"Allows searching Play ID by data that will be specified on the next step.","Consente di cercare l'ID Play in base ai dati che verranno specificati nel passaggio successivo."
"Assign Play ID Automatically","Assegna automaticamente ID Play"
"Allows searching Play ID by data, that have already been specified in Listing Search settings.","Consente di cercare l'ID Play in base ai dati che sono già stati specificati nelle impostazioni Ricerca inserzione."
"<div>
    This section contains Play.com Channel, Product Search, Shipping and Condition settings.<br/>
        <ul class=""list"">
        <li>In the General section you have to specify Play.com Account, which listed items will be related to, and the Reference Code for its products.</li>
        <li>In the Search Settings you have to specify the identifiers, at which products will be searched on Play.com.</li>
        <li>In the Shipping section you have to specify Shipping information.</li>
        <li>The Condition section allows specifying item(s) condition and making notes to better describe the condition.</li>
        </ul>
        <b>Note:</b> <i>Not Set</i> and <i>Not Set / Not Changeable</i> options are used for the 3rd Party Listings mainly. If these options are chosen, Play.com will be used as a master record.</div>","<div>    In questa sezione sono contenute le impostazioni Canale, Ricerca prodotto e Condizioni di Play.com.<br/>        <ul class=""list"">        <li>Nella sezione Generale devi specificare un account Play.com al quale associare gli oggetti messi in vendita e il codice di riferimento per i relativi prodotti.</li>        <li>Nelle impostazioni di ricerca devi specificare gli identificatori in base ai quali i prodotti verranno cercati su Play.com.</li>        <li>Nella sezione Spedizione devi specificare le informazioni sulla spedizione.</li>        <li>Nella sezione Condizioni è possibile specificare le condizioni degli oggetti e inserire delle note per descriverle meglio.</li>        </ul>        <b>Nota:</b> le opzioni <i>Non impostato</i> e <i>Non impostato/Non modificabile</i> vengono utilizzate principalmente per le inserzioni di terze parti. Se vengono selezionate queste opzioni, Play.com verrà utilizzato come registro principale.</div>"
"UPC/EAN Attribute","Attributo UPC/EAN "
"Play ID Attribute","Attributo ID Play"
"Parameter the product search will be performed by.<br/>For ex.: http://www.play.com/Mobiles/Mobile/4-/20020059/-/Product.html.<br/>Play ID = 20020059","Parametro tramite il quale verrà effettuata la ricerca di prodotti.<br/>Ad esempio,: http://www.play.com/Mobiles/Mobile/4-/20020059/-/Product.html.<br/>ID Play = 20020059"
"Must be a positive number with two decimal places.","Deve contenere un numero positivo con due sezioni decimali."
"Play.com Account","Account Play.com"
"Play.com accounts previously added in Configuration > Accounts.","Account Play.com precedentemente aggiunti in Configurazione > Account."
"A unique ID, which identify a product in your Play.com seller inventory.<br/>
<b>Note:</b> If you list a product and M2E Pro find a product with the same Reference Code in Play.com inventory, they will be mapped.","ID univoco che identifica un prodotto nel magazzino del venditore Play.com.<br/><b>Nota:</b> se metti in vendita un prodotto e M2E Pro ne trova un altro con lo stesso codice di riferimento nel magazzino Play.com, i prodotti verranno associati."
"Reference Code Attribute","Attributo codice di riferimento"
"Generate Reference Code","Genera codice di riferimento"
"If <i>Yes</i>, then if the Reference Code of the product you list is found in the 3rd Party or M2E Listings, another one will be automatically created and the product will be listed.","Se <i>Sì</i>, ovvero se il codice di riferimento del venditore per il prodotto messo in vendita viene trovato tra le inserzioni di terze parti o M2E verrà creato automaticamente e messo in vendita un altro prodotto."
"Search Products On Play.com","Cerca prodotti su Play.com"
"At the moment, it is possible only to list items existing on Play.com.
So before the list action, each product in listing must have existing Play ID.
This section contains parameters for action ""Assign Play ID Automatically","Attualmente è solo possibile mettere in vendita gli oggetti presenti su Play.com. Pertanto, prima dell'azione di messa in vendita, è necessario assegnare un ID Play esistente a ogni prodotto nell'inserzione. Questa sezione contiene i parametri per l'azione ""Assegna automaticamente ID Play"""
"UPC/EAN","UPC/EAN"
"
                This section determines information about how your products will be shipped.
                <br/><br/>
                <b>Note:</b> <i>Not Set / Not Changeable</i> is used for the 3rd Party Listings mainly. If this option is chosen, Play.com will be used as a master record.
                ","                Questa sezione fornisce informazioni su come verranno spediti i prodotti.                <br/><br/>                <b>Nota:</b> l'opzione <i>Non impostato/Non modificabile</i> viene utilizzata principalmente per le inserzioni di terze parti. Se viene selezionata questa opzione, Play.com verrà utilizzato come registro principale.                "
"Delivery Region","Regione di consegna"
"Region to which you are willing to deliver.","Regione in cui sei disposto a spedire."
"Delivery Region Value","Valore regione di consegna"
"UK Only","Solo Regno Unito"
"Europe Only","Solo Europa"
"UK & Europe","Regno Unito ed Europa"
"Delivery Region Attribute","Attributo regione di consegna"
"Choose the attribute that contains <a href=""%s"" target=""_blank"">identifier</a>.","Scegli l'attributo che contiene l'<a href=""%s"" target=""_blank"">identificatore</a>."
"Dispatch Country","Paese di spedizione"
"Country you will be dispatching your item from.","Paese dal quale spedirai l'oggetto."
"Dispatch Country Value","Valore paese di spedizione"
"UK","Regno Unito"
"Andorra","Andorra"
"Belgium","Belgio"
"Cyprus","Cipro"
"Denmark","Danimarca"
"Finland","Finlandia"
"Gibraltar","Gibilterra"
"Greece","Grecia"
"Greenland","Groenlandia"
"Iceland","Islanda"
"Liechtenstein","Liechtenstein"
"Luxembourg","Lussemburgo"
"Malta","Malta"
"Monaco","Monaco"
"Norway","Norvegia"
"San Marino","San Marino"
"Vatican","Vaticano"
"USA","Stati Uniti"
"Shipping Cost per Item, GBP","Spese di spedizione per oggetto, GBP"
"Cost Value, GBP","Valore spese, GBP"
"Cost Attribute, GBP","Attributo spese, GBP"
"Shipping Cost per Item, EUR","Spese di spedizione per oggetto, EUR"
"Cost Value, EUR","Valore spese, EUR"
"Cost Attribute, EUR","Attributo spese, EUR"
"Condition of the product(s) you want to list on Play.com.","Condizioni dei prodotti che desideri mettere in vendita su Play.com."
"Condition of the product(s) you want to list on Play.com.<br/>
                                <b>Note:</b> Condition of Active Items cannot be changed.","Condizioni dei prodotti che desideri mettere in vendita su Play.com.<br/>                                <b>Nota:</b> non è possibile modificare le condizioni degli oggetti attivi."
"Used - Average","Usato - Medio"
"Collectable - Like New","Collezionismo - Come nuovo"
"Collectable - Very Good","Collezionismo - Molto buono"
"Collectable - Good","Collezionismo - Buono"
"Collectable - Average","Collezionismo - Medio"
"Short description of item(s) condition.","Breve descrizione delle condizioni degli oggetti."
