"eBay Motors","eBay Motor"
"and","y"
"component","componente"
"components","componentes"
"Current %s %s are in <span style=""text-decoration: underline;"">Beta</span> state and are provided free of charge. However, please be advised that upon the live version of the product release some monthly subscription fee will be introduced.<br/>","Las versiones actuales de %s %s se encuentran en estado <span style=""text-decoration: underline;"">Beta</span> y se proporcionan totalmente gratis. Sin embargo, recuerda que cuando se lance la versión comercial del producto se aplicará una tarifa mensual de suscripción.<br/>"
"<br/><b>Note:</b> M2E Pro v.6.x.x consists of %s.<br/>
    %s
    %s
    <br/>
    <hr style=""color:#D6D6D6""/><br/>
    M2E Pro extension requires activation for its work.<br/><br/>
    To get the License Key click the <span style=""text-decoration: underline;"">Get License Key</span> link and follow the instructions.<br/>
    When you receive your License Key, press the Enter button, enter your License Key in appeared text field and press Confirm.
    <br/><br/>
    <b>Note:</b> If you have not received the License Key, please contact us %s.","<br/><b>Nota:</b> M2E Pro v.6.x.x se compone de %s.<br/>    %s %s    <br/>    <hr style=""color:#D6D6D6""/><br/>    La extensión M2E Pro se debe activar para que funcione.<br/><br/>    Para obtener la clave de licencia, pulsa el vínculo <span style=""text-decoration: underline;"">Obtener clave de licencia</span> y sigue las instrucciones.<br/>    Cuando recibas la clave de licencia, pulsa el botón Introducir, introduce tu clave de licencia en el campo de texto que se muestra y pulsa Confirmar.    <br/><br/>    <b>Nota:</b> si no has recibido la clave de licencia, ponte en contacto con nosotros %s."
"You must get valid Trial or Live license key.","Debes obtener una clave de licencia de prueba o activa que sea válida."
"License Data","Datos de la licencia"
"License Key","Clave de licencia"
"Get License Key","Obtener clave de licencia"
"License Validation","Validación de la licencia"
"Domain","Dominio"
"IP","IP"
"Directory","Directorio"
"Access","Acceso"
"<b>Note:</b> The eBay component, its upgrades and support are free according to eBay / Magento Partner Agreement. And they will stay free
                                                                       until the partner agreement is active.","<b>Nota:</b> el componente de eBay, sus actualizaciones y el soporte técnico son gratuitos según el Acuerdo para socios de eBay/Magento. Y seguirán siendo gratuitos mientras que el acuerdo para socios esté activo."
"<b>Note:</b> The current Beta version of the Amazon module is provided free of charge.
                                However, please be advised that upon the live version of the product release some monthly subscription fee will be introduced.","<b>Nota:</b> la versión Beta actual del módulo de Amazon se proporciona totalmente gratis. Sin embargo, recuerda que cuando se lance la versión comercial del producto se aplicará una tarifa mensual de suscripción."
"<b>Note:</b> The current Beta version of the Rakuten.com module is provided free of charge.
                                However, please be advised that upon the live version of the product release some monthly subscription fee will introduced.","<b>Nota:</b> la versión Beta actual del módulo de Rakuten.com se proporciona totalmente gratis. Sin embargo, recuerda que cuando se lance la versión comercial del producto se aplicará una tarifa mensual de suscripción."
"<b>Note:</b> The current Beta version of the Play.com module is provided free of charge.
                                However, please be advised that upon the live version of the product release some monthly subscription fee will introduced.","<b>Nota:</b> la versión Beta actual del módulo de Play.com se proporciona totalmente gratis. Sin embargo, recuerda que cuando se lance la versión comercial del producto se aplicará una tarifa mensual de suscripción."
"Current Status","Estado actual"
"None License","Ninguna licencia"
"Trial License","Licencia de prueba"
"Live License","Licencia activa"
"Suspended","Suspendida"
"Closed","Cerrada"
"Expiration Date","Fecha de vencimiento"
"Global Settings","Configuración global"
"All settings are gathered into four groups. To reach them click on appropriate link.","Todas las opciones se reúnen en cuatro grupos. Para acceder a ellas, pulsa el vínculo adecuado."
"eBay, Amazon, Rakuten.com, Play.com channels activation.","Activación de los canales eBay, Amazon, Rakuten.com y Play.com."
"Interface and synchronization preferences.","Preferencias de interfaz y de sincronización."
"Logs Clearing","Borrado de registros"
"Preferences for logs history clearing.","Preferencias de borrado del historial de registros."
"M2E Pro activation.","Activación de M2E Pro."
"Set preferences for automatic logs clearing and Save configuration.
        <br/>
        To launch a task manually press Run Now. To clear all log records of the certain Log press Clear All button.
        <br/><br/>
        <b>Note:</b> Autoclearing is performed by cron.
       ","Establece las preferencias de borrado automático de registros y guarda la configuración.        <br/>        Para lanzar una tarea manualmente, pulsa Ejecutar ahora. Para borrar toda la información guardada de un registro determinado, pulsa el botón Borrar todo.        <br/><br/>        <b>Nota:</b> el borrado automático se realiza mediante cron.       "
"Listings Log Clearing","Borrado de registros de anuncios"
"Keep For (days)","Conservar durante (días)"
"Saves records for the definite number of days.","Guarda los registros el número de días indicado."
"3rd Party Listings Log Clearing","Borrado de registro de anuncios externos"
"Synchronization Log Clearing","Borrado de registro de sincronización"
"Orders Log Clearing","Borrado del registro de pedidos"
"Interface","Interfaz"
"Set visual interface preferences and Save configuration.","Establece las preferencias de la interfaz visual y guarda la configuración."
"Products Thumbnails","Miniaturas de los productos"
"Do Not Show","No mostrar"
"Show","Mostrar"
"Shows / does not show products thumbnails on Add Products and View Listing pages.","Muestra/no muestra miniaturas de los productos en las páginas para añadir productos y ver anuncios."
"Help Blocks","Bloques de ayuda"
"Shows / does not show Help blocks.","Muestra/no muestra los bloques de ayuda."
"Restores manually closed Help blocks.","Restaura los bloques de ayuda cerrados manualmente."
"Global Synchronization","Sincronización global"
"Has to be enabled if product price and quantity changes are made directly to database.  Data update depends on the number of products and can be fully completed after several synchronization cycles finish.
                    <br/><br/>
                    <b>Note:</b> Enable this option if you really need it, as it is very resource and time consuming and may affect synchronization performance.","Se debe activar si los cambios de precio y cantidad de producto se realizan directamente en la base de datos. La actualización de datos depende del número de productos y se puede realizar completamente después de la finalización de varios ciclos de sincronización.                    <br/><br/>                    <b>Nota:</b> activa esta opción solo si la necesitas realmente, ya que usa muchos recursos y tarda mucho tiempo, lo que podría afectar al rendimiento de la sincronización."
"Track Direct Database Changes","Seguimiento de cambios directos en la base de datos"
"<b>Note:</b> Enable this option if you really need it, as it is very resource and time consuming and may affect synchronization performance.","<b>Nota:</b> activa esta opción solo si la necesitas realmente, ya que usa muchos recursos y tarda mucho tiempo, lo que podría afectar al rendimiento de la sincronización."
"PHP","PHP"
"MySQL","MySQL"
"Cron","Cron"
"GMT","Hora británica (GMT)"
"not working","no funciona"
"Expired Date","Fecha de caducidad"
"Valid Domain","Dominio válido"
"Valid IP","IP válida"
"Valid Directory","Directorio válido"
"Host","Host"
"Edition","Edición"
"Version","Versión"
"Add Secret Key to URLs","Añadir clave secreta a las URL"
"Name","Nombre"
"Version (revision)","Versión (revisión)"
"Server API","API del servidor"
"Database Name","Nombre de base de datos"
"Tables Prefix","Prefijo de las tablas"
"Connection Timeout","Periodo de conexión superado"
"sec","s"
"Wait Timeout","Periodo de espera superado"
"Total Tables","N.º total de tablas"
"Total Module Tables","N.º total de tablas de módulo"
"Total Module Records","N.º total de registros de módulo"
"Unlimited","Sin límite"
"PHP Info","Información de PHP"
"Current Date (GMT)","Fecha actual (GMT)"
"APC","APC"
"Memcached","Memcached"
"Redis","Redis"
"Compilation","Compilación"
"Code Pool","Grupo de código"
"We recommend to set up your cron job to be run every 5 minutes (e.g. */5 * * * *).","Te recomendamos configurar el trabajo de cron para que se ejecute cada 5 minutos (por ejemplo, */5 * * * *)."
"Last Run","Última ejecución"
"PHP command","Comando PHP"
"GET command","Comando GET"
"Cron Schedule Table","Tabla de programación de cron"
"Magento Default Locale","Configuración regional predeterminada de Magento"
"Properties","Propiedades"
"Current Value","Valor actual"
"Location","Ubicación"
"MySQL Summary","Resumen de MySQL"
"Table `%s`","Tabla ""%s"""
"(%s records)","(%s registros)"
"<b>Magento development mode is '.$developmentHtml.' now.</b>","<b>El modo de desarrollo de Magento es '.$developmentHtml.' ahora.</b>"
"System Requirements","Requisitos del sistema"
"Caches / Compilation","Caché/compilación"
"Conflicted Modules","Módulos en conflicto"
"Database Broken Tables","Tablas interrumpidas de la base de datos"
"Info","Información"
"Database (Module)","Base de datos (módulo)"
"Database (Integration)","Base de datos (integración)"
"M2E Pro (General)","M2E Pro (general)"
"M2E Pro (Install / Upgrade)","M2E Pro (instalación/actualización)"
"Additional","Adicional"
"Help","Ayuda"
"Hide Block","Ocultar bloque"
"Show Tips","Mostrar consejos"
"Hide Tips","Ocultar consejos"
"View All Product Log","Ver todo el registro de productos"
"This is a required field.","Este campo es obligatorio."
"You should select Attribute Set first.","Antes debes seleccionar el conjunto de atributos."
"Collapse All","Contraer todo"
"Expand All","Expandir todo"
"The products below will not be moved into the chosen listing. <br />
                                    <div style=""font-weight: normal;"">
                                        <span style=""text-decoration: underline"">Possible reasons:</span> <br />
                                        The products are already present in the chosen listing.<br />
                                    </div>","Los productos siguientes no se moverán al anuncio elegido. <br />                                    <div style=""font-weight: normal;"">                                        <span style=""text-decoration: underline"">Posibles motivos:</span> <br />                                        Los productos ya están presentes en el anuncio elegido.<br />                                        El anuncio elegido incluye ""No mostrar"" en ""Productos presentados en otros anuncios"" y dichos productos están presentes en otros anuncios.<br />                                    </div>"
"Enter Product ID","Introducir identificador de producto"
"Or SKU","o número de referencia de producto"
"Advanced Filter","Filtro avanzado"
"Products Presented In Other Listings","Productos presentados en otros anuncios"
"Not Show","No mostrar"
"Makes the filter result more precise:<br/><b>Show</b> - all products will be displayed;<br/><b>Not Show</b> - the products, which are not included in any listing, will be only displayed.","Aumenta la precisión del resultado del filtro:<br/><b>Mostrar</b>: se presentan todos los productos.<br/><b>No mostrar</b>: solo se presentan los productos que no están incluidos en ningún anuncio."
"eBay User ID","Seudónimo de eBay"
"eBay Site","Página de eBay"
"Magento Store View","Vista de tienda de Magento"
"Errors Summary","Resumen de errores"
"Product(s)","Productos"
"Payment Method","Forma de pago"
"%s Order ID","Identificador del pedido %s"
"%s Final Fee","Tarifa final de %s"
"Transactions","Transacciones"
"Transaction #","Transacción nº"
"Fee","Tarifa"
"Amount","Importe"
"Date","Fecha"
"Order ID","Identificador de pedido"
"Store Debug Information","Almacenar información de depuración"
"View All Order Logs.","Consulta todos los registros de pedidos."
"Please enter correct product ID or SKU.","Introduce el identificador o número de referencia de producto correcto."
"Order Item Mapping","Asignación de artículos de pedido"
"As M2E Pro was not able to find appropriate product in Magento Catalog, you are supposed to find and map it manualy.
                <br/><br/><b>Note:</b> Magento Order can be only created when all products of eBay Order are found in Magento Catalog.","Como M2E Pro no ha encontrado el producto adecuado en el catálogo de Magento, se supone que debes buscarlo y asignarlo manualmente.                <br/><br/><b>Nota:</b> el pedido de Magento solo se puede crear si todos los productos del pedido de eBay se encuentran en el catálogo de Magento."
"Order Item Options Setting","Configuración de opciones de artículo de pedido"
"As M2E Pro was not able to find appropriate option in Magento product you are supposed find and map it manualy.
                <br/>If you want to use the same settings for the similar subsequent orders, select appropriate check-box at the bottom.
                <br/><br/><b>Note:</b> Magento Order can be only created when all products of eBay Order are found in Magento Catalog.","Como M2E Pro no ha encontrado la opción adecuada en el producto de Magento, se supone que debes buscarla y asignarla manualmente.                <br/>Si quieres usar la misma configuración para pedidos posteriores similares, marca la casilla adecuada en la parte inferior.                <br/><br/><b>Nota:</b> el pedido de Magento solo se puede crear si todos los productos del pedido de eBay se encuentran en el catálogo de Magento."
"Channel Options","Opciones de canal"
"No channel options are available.","No hay disponible ninguna opción de canal."
"Select Option...","Seleccionar opción..."
"Save selection for subsequent orders","Guardar selección para pedidos posteriores"
"Selected Product Option is Out of Stock.","No hay existencias de la opción de producto seleccionada."
"Not created orders only","Solo pedidos no creados"
"Using this, you can  see the records for which order(s) were not created in magento.
                    <br/>It might happened, because particular product(s) or product option(s) were not found and some action is required for such orders.
                    <br/>
                    <br/>When you open order detail, you can use appropriate options <b>Map to Magento Product</b> or <b>Set Options</b> to correct missing information and create order in magento.","Con esta opción, puedes ver los registros para los que no se han creado pedidos en Magento.                    <br/>Esto puede suceder porque un determinado producto u opciones de producto no se han encontrado y es necesario realizar alguna acción en dichos pedidos.                    <br/>                    <br/>Al abrir el detalle del pedido, puedes usar las opciones adecuadas <b>Asignar a producto de Magento</b> o <b>Establecer opciones</b> para corregir la información que falta y crear el pedido en Magento."
"M2E Pro has detected, that your System Configuration does not meet minimum requirements, so there might be problems with its work. Please <a href=""javascript:"" onclick=""%s"">check it</a> and amend appropriate settings.","M2E Pro ha detectado que la configuración del sistema no cumple los requisitos mínimos, por lo que es posible que haya problemas con su funcionamiento. <a href=""javascript:"" onclick=""%s"">Compruébalo</a> y modifica las opciones adecuadas."
"Please take a look at <a href=""%s"" onclick=""%s"">Documentation</a> and <a href=""%s"" onclick=""%s"">Knowledge Base</a>.
                Most probably it has the answer to your question(s).<br/>
                If you still have any questions, fill in the form below to contact our Customer Support. <br/><br/>
                <b>Note:</b> We provide support during our working hours: 10 a.m. - 6 p.m. (GMT+2), mon - fri.","Consulta la <a href=""%s"" onclick=""%s"">documentación</a> y la <a href=""%s"" onclick=""%s"">base de conocimientos</a>. Lo más probable es que encuentres la respuesta a tus preguntas.<br/>                Si sigues teniendo preguntas, rellena el formulario siguiente para ponerte en contacto con Atención al cliente. <br/><br/>                <b>Nota:</b> ofrecemos asistencia durante nuestro horario de atención al cliente: de lunes a viernes de 10:00 a 18:00 (GMT+2)."
"Subject","Asunto"
"Contact Name","Nombre de contacto"
"Contact Email","Correo electrónico de contacto"
"General Problem","Problema general"
"Problem","Problema"
"No Articles Found","No se encontraron artículos"
"Go To Article â†’","Ir al artículo ?"
"Feedback","Valoración"
"No Ideas Found","No se han encontrado ideas"
"Go To Idea â†’","Ir a la idea ?"
"Cron Info","Información de Cron"
"Enter your problem here","Escribe tu problema aquí"
"This Log contains information on processes, which were done in Synchronization tasks.<br/><br/>
    <b>Note:</b> Logs of Default, Templates, Orders and 3rd Party Listings Synchronizations are only recorded when Error(s) or Warning(s) appears.","Este registro contiene información sobre los procesos que se realizaron en las tareas de sincronización.<br/><br/>    <b>Nota:</b> los registros de la sincronización de valores predeterminados, plantillas, pedidos y anuncios externos solo se guardan cuando aparecen errores o advertencias."
"Step","Paso"
"Note: If you close the wizard, it never starts again. You will be required to set all settings manually. Press Cancel to continue working with wizard.","Nota: si cierras el asistente, este no se abrirá de nuevo. Deberás configurar todos los valores manualmente. Pulsa Cancelar para seguir trabajando con el asistente."
"You have set the main M2E Pro settings and now you have to set up the main settings of the chosen Channel(s).","Has configurado los valores principales de M2E Pro y ahora tienes que hacer lo mismo con los canales elegidos."
"Cron Job Set Up","Configuración del trabajo de cron"
"Set up a cron job to run every minute (e.g. * * * * *) to enable automatic work of the extension.<br/>
            Otherwise, some processes will not work (i.e. synchronization tasks, logs cleaning).","Configura que se ejecute un trabajo de cron cada minuto (por ejemplo, * * * * *) para activar el funcionamiento automático de la extensión.<br/>            De lo contrario, algunos procesos no funcionarán (p. ej., tareas de sincronización, limpieza de registros)."
"Set up Cron Job using PHP","Configurar trabajo de cron con PHP"
"OR","O"
"Set up Cron Job using GET","Configurar trabajo de cron con GET"
"Incomplete","Incompleto"
"License Set Up","Configuración de la licencia"
"You need to specify the License Key. <br/>
            <strong>Note:</strong> M2E Pro does not work without activation.","Debes especificar la clave de licencia. <br/>            <strong>Nota:</strong> M2E Pro no funciona sin la activación."
"Settings Set Up","Establecimiento de la configuración"
"In M2E Pro global settings you are required to specify the channel(s) you are going to work with.","En la configuración global de M2E Pro es necesario que especifiques los canales con los que vas a trabajar."
"You have successfully installed <strong>M2E Pro v. %s</strong>.<br/>
             Click
             <a href=""%s"">Start Configuration</a> Wizard to quickly set up main settings or
             <a href=""%s"" onclick=""%s"">Skip</a> it if you intend to set it later. <br/>
             <strong>Note:</strong> If you skip the Wizard, it never starts again. You will be required to set all settings manually.","Has instalado correctamente <strong>M2E Pro v. %s</strong>.<br/>             Pulsa el asistente para <a href=""%s"">iniciar la configuración</a> si deseas configurar rápidamente los valores principales o bien <a href=""%s"" onclick=""%s"">Omitir</a> para configurarlos más tarde. <br/>             <strong>Nota:</strong> si omites el asistente, no se iniciará de nuevo. Deberás configurar todos los valores manualmente. "
"<strong>You have successfully installed M2E Pro v. %s.</strong><br/><br/>
    The next step is setting up of the main settings, such as Cron job, Licensing (extension does not work without license)
    and others to enable a proper work of the extension.<br/>
    In the table below there are recommended server settings, which guaranty a stable work of the extension. <br/><br/>
    Press the <span style=""text-decoration: underline;"">Start Configuration</span> button to start setting M2E Pro configuration.","<strong>Has instalado correctamente M2E Pro v. %s</strong>.<br/><br/>    El paso siguiente consiste en establecer la configuración principal, como el trabajo de cron y la licencia (la extensión no funciona sin licencia) entre otros, para activar el funcionamiento adecuado de la extensión.<br/>    En la tabla siguiente se muestra la configuración de servidor recomendada, que garantiza un funcionamiento estable de la extensión. <br/><br/>    Pulsa el botón <span style=""text-decoration: underline;"">Iniciar configuración</span> para comenzar a establecer la configuración de M2E Pro."
"Congratulations, you have successfully linked your eBay account to M2E Pro.","Enhorabuena, has vinculado correctamente tu cuenta de eBay con M2E Pro."
"You can change it if you need.","Si lo necesitas, puedes cambiarlo."
"Import Orders","Importar pedidos"
"Import 3rd Party Items","Importar artículos externos"
"Import Feedback","Importar votos"
"Now, create an M2E Pro Listing. This will allow you to define specific settings on eBay.","Ahora, crea un anuncio de M2E Pro. De este modo, podrás definir la configuración específica en eBay."
"Please ensure your personal information is correct","Asegúrate de que tu información personal sea correcta"
"Email","Correo electrónico"
"First Name","Nombre"
"Last Name","Apellidos"
"Postal Code","Código postal"
"This information will be sent to M2E Pro for approval.
            <br/>Read more in our <a href=""http://www.m2epro.com/privacy.html"" target=""_blank"">Privacy Policy</a>.","Esta información se enviará a M2E Pro para su aprobación.            <br/>Para obtener más información, lee nuestra <a href=""http://www.m2epro.com/privacy.html"" target=""_blank"">Política de privacidad</a>."
"Please sign into eBay to link M2E to your eBay account and proceed to the next step.","Identifícate en eBay para vincular M2E a tu cuenta de eBay y continuar con el paso siguiente."
"Sign into eBay Sandbox","Identificarse en eBay Sandbox"
"If you don't have an eBay account, please create one. It's easy, fast and free.","Si no tienes una cuenta de eBay, créala. Es fácil, rápido y gratis."
"Please verify the below information is valid before we register you with M2E.","Verifica que la información siguiente es válida antes de registrarte en M2E."
"Register Your Free M2E Extension","Registra tu extensión M2E gratuita"
"The eBay token obtaining is currently unavailable. Please try again later.","No está disponible en este momento la obtención del código de eBay. Inténtalo de nuevo más tarde."
"eBay/Magento Integration: Listing","Integración eBay/Magento: Anuncio"
"Creating a new listing in one of your first jobs. Don't worry. It's easy to do.","Una de tus primeras tareas es crear un nuevo anuncio. No te preocupes. Es fácil:"
"Think of an M2E Listing as a set of policies that will determine the type of items you wish to sell. You can create as many M2E Listings as you need.","Considera un anuncio de M2E como un conjunto de políticas que determinan el tipo de artículos que quieres vender. Puedes crear tantos anuncios de M2E como necesites."
"Creating an M2E Listing with certain characteristics means you won't need to input these characteristics again and again every time you wish to sell an item.","La creación de un anuncio de M2E con determinadas características significa que no tendrás que introducirlas continuamente, cada vez que quieras vender un artículo."
"There are %s stages to complete to create a successful M2E Listing in %s Mode:","Hay %s fases que se deben realizar para crear un anuncio de M2E correctamente en el modo %s:"
"<b>General Settings</b> â€“ information about which eBay site you wish to list on, your eBay User ID and which Magento Store settings you wish to use","<b>Configuración general</b>: información sobre el sitio de eBay en el que deseas poner en venta artículos, tu seudónimo de eBay y la configuración de la tienda de Magento que deseas usar"
"<b>Payment and Shipping Settings</b> â€“ what are your shipping charges, your Returns Policy and how do you wish to get paid","<b>Configuración de pago y de envío</b>: información sobre los gastos de envío, la política de devoluciones y el modo en que deseas recibir el pago"
"<b>Selling Settings</b> â€“ more detailed information about the type of eBay listing and how long your item will be on sale","<b>Configuración de venta</b>: información más detallada sobre el tipo de anuncio de eBay y el tiempo que el artículo estará en venta"
"<b>Synchronization Setting</b> â€“ how your items are synchronized on eBay","<b>Configuración de sincronización</b>: información sobre cómo se sincronizan los artículos en eBay"
"Please select an M2E Mode","Selecciona un modo de M2E"
"There are two modes available to you.
            <br/>
            We have chosen the mode we think is most suitable for you, based on your selling history, but you can change this if you prefer.","Dispones de dos modos.            <br/>            Hemos elegido el modo que consideramos que resulta más adecuado para ti, según tu historial de venta, pero puedes cambiarlo si así lo prefieres."
"Simple","Sencillo"
"Suitable for new users and for those with a limited inventory.","Adecuado para los usuarios nuevos y para los que tienen un inventario limitado."
"Advanced","Avanzado"
"Suitable for the more experienced user.","Adecuado para el usuario más experimentado."
"If you're not sure which mode to choose, go for the Simple Mode.
                Don't worry you can change it later in %s -> Configuration -> General","Si no estás seguro de qué modo elegir, decántate por el modo sencillo. No te preocupes, puedes cambiarlo más tarde en %s > Configuración > General."
"eBay/Magento Integration: Products Management","Integración eBay/Magento: Gestión de productos"
"Congratulations, you have successfully created your first M2E Listing. You're well on your way to your first items appearing on eBay.","Enhorabuena, has creado correctamente tu primer anuncio de M2E. Has iniciado el camino que termina con la aparición de tus primeros artículos en eBay."
"Next up is to select the products from your Magento Store that you want to list on eBay. ","El siguiente paso es seleccionar los productos de la tienda de Magento que desees poner en venta en eBay. "
"Any products on your Magento Store that fulfil your M2E Listing criteria can be chosen.","Puedes elegir cualquier producto de la tienda de Magento que cumpla los criterios de tu anuncio de M2E."
"Once you've chosen your products, assign them to the correct eBay category.","Después de haber elegido los productos, asígnalos a la categoría de eBay correcta."
"You can adjust the price that you sell your items for on eBay in relation to your shop price. You might want to increase your selling price to take into account the fees for selling on eBay.
                                                          Or, reduce your price to be competitive.","Puedes ajustar el precio al que vendes tus artículos en eBay en relación con el precio de tu tienda. Es recomendable que aumentes el precio de venta para tener en cuenta las comisiones por venta realizada de eBay. O quizás quieras reducir el precio para ser más competitivo."
"Wizard (Video Tutorial)","Asistente (tutorial en vídeo)"
"Combine Magento - the best-selling ecommerce web applicationâ€“and eBay â€“ the world's favourite marketplace","Combinar Magento (la aplicación Web de comercio electrónico más vendida) e eBay (el mercado favorito de todo el mundo)"
"M2E is a free Magento extension that enables you to sell your products on eBay and manage your sales from your Magento store.","M2E es una extensión de Magento gratuita que te permite vender los productos en eBay y gestionar las ventas desde tu tienda de Magento."
"Using M2E is an easy way to display your products in front of millions of buyers on eBay. It's free, quick and simple to set up. You choose which products to sell, the quantity and price. Using eBay means your items are automatically optimized for mobile â€“ the biggest retail growth area.","Con M2E, puedes presentar fácilmente tus productos a millones de compradores en eBay. Es gratis y se configura de un modo rápido y sencillo. Puedes elegir los productos que quieres vender, la cantidad y el precio. Con eBay, tus artículos están optimizados automáticamente para mostrarse en dispositivos móviles, el área de mayor crecimiento del comercio minorista."
"The first step is to link Magento to your eBay account.","El primer paso es vincular Magento a tu cuenta de eBay."
"If you already have an eBay account, check that you are registered as an eBay business seller. If you don't yet have an eBay account it's easy to create one.","Si ya tienes una cuenta de eBay, comprueba que estás registrado como vendedor Empresa de eBay. Si todavía no tienes una cuenta de eBay, puedes crearla fácilmente."
"You have successfully installed <strong>M2E Pro v. %s</strong>.<br/>
             Click
             <a href=""%s"">Start Configuration</a> Wizard to quickly set up main settings","Has instalado correctamente <strong>M2E Pro v. %s</strong>.<br/>             Pulsa el asistente <a href=""%s"">Iniciar configuración</a> para establecer rápidamente la configuración principal"
"Step %d","Paso %d"
"<b>Congratulations!</b><br/>
                You have successfully installed the new version of M2E Pro.
                <br/>In this version 'Sell on eBay' has been separated from the other channels and completely updated. All data was successfully migrated but we would recommend you check the settings in light of the changes weâ€™ve identified below.
                ","<b>Enhorabuena!</b><br/>                Has instalado correctamente la nueva versión de M2E Pro.                <br/>En esta versión, ""Vender en eBay"" se ha separado de otros canales y se ha actualizado por completo. Todos los datos se han migrado correctamente, pero te recomendamos que compruebes la configuración según los cambios que hemos identificado a continuación.                "
"1) Templates have been replaced by Policies","1) Las plantillas se han reemplazado por políticas"
"All templates are now policies. Use these to create all the necessary settings for listing Magento products on eBay.
            <br/><br/>The templates have been renamed:
            <br/>
             <table>
            <thead>
                    <td width=""200""><b>Previously known as:</b></td>
                    <td width=""200""><b>New name of policy:</b></td>
                    <td width=""250""><b>Whatâ€™s included:</b></td>
            </thead>
            <tr>
                <td>General</td>
                <td>Payment</td>
                <td>How buyers pay you</td>
            </tr>
            <tr>
                <td>General</td>
                <td>Shipping</td>
                <td>Your shipping costs and service</td>
            </tr>
             <tr>
                <td>General</td>
                <td>Returns</td>
                <td>Your returns window and who pays postage</td>
            </tr>
            <tr>
                <td>Selling Format</td>
                <td>Price, Quantity and Format</td>
                <td>Detailed information including price, quantity and listing duration</td>
            </tr>
            <tr>
                <td>Description, listing upgrades, product details and condition</td>
                <td>Description</td>
                <td>Settings to help you accurately describe your items</td>
            </tr>
            <tr>
                <td>Synchronization</td>
                <td>Synchronization</td>
                <td>Settings for autosynchronization between Magento and eBay</td>
            </tr>
            </table>
                ","Ahora, todas las plantillas son políticas. Utilízalas para crear la configuración necesaria para poner en venta productos de Magento en eBay.            <br/><br/>Se ha cambiado el nombre de las plantillas:            <br/>             <table>            <thead>                    <td width=""200""><b>Nombre anterior:</b></td>                    <td width=""200""><b>Nuevo nombre de política:</b></td>                    <td width=""250""><b>Qué incluye:</b></td>            </thead>            <tr>                <td>General</td>                <td>Pago</td>                <td>Cómo te pagan los compradores</td>            </tr>            <tr>                <td>General</td>                <td>Envío</td>                <td>Tus gastos de envío y servicio</td>            </tr>             <tr>                <td>General</td>                <td>Devoluciones</td>                <td>Tu plazo de devolución y quién paga los gastos de envío</td>            </tr>            <tr>                <td>Formato de la venta</td>                <td>Precio, cantidad y formato</td>                <td>Información detallada, en la que se incluyen el precio, la cantidad y la duración del anuncio</td>            </tr>            <tr>                <td>Descripción, actualizaciones de anuncio, detalles de producto y estado</td>                <td>Descripción </td>                <td>Configuración para ayudarte a describir tus artículos de forma precisa</td>            </tr>            <tr>                <td>Sincronización</td>                <td>Sincronización</td>                <td>Configuración de la sincronización automática entre Magento e eBay</td>            </tr>            </table>                "
"2) Easier to create new listings","2) Mayor sencillez para crear nuevos anuncios"
"Itâ€™s now quicker and easier to create eBay listings. You can set up a single listing from scratch using custom setting mode or use previously saved information. You can also edit listings individually or in bulk with details in your listing settings*, policies and custom settings.
            <br/>
            <br/>
            When your listings have been created, you can choose between 3 different modes to view and filter them:
            <br/>
                <ul style=""list-style: disc; padding-left: 35px;"">
                    <li><b>eBay</b> â€“ displays product information related to eBay so itâ€™s easy to find and edit listings in bulk (for example, list, relist, revise, stop etc)</li>
                    <li><b>Magento</b> - displays product information related to the Magento catalogue such as Magento QTY, stock Status etc.</li>
                    <li><b>Settings</b> â€“ displays information in relation to the product settings (for example Selling settings, eBay categories etc) to make it easy to change settings in bulk.</li>
                </ul>
            <br/>
            * Attributes have been removed from listing settings.
            ","Ahora es más rápido y sencillo crear anuncios de eBay. Puedes configurar un anuncio desde cero con el modo de configuración personalizada o usar información guardada anteriormente. También puedes modificar los anuncios de forma individual o por lotes, con los detalles de la configuración de anuncio*, las políticas y la configuración personalizada.            <br/>            <br/>            Cuando hayas creado los anuncios, puedes elegir entre tres modos distintos de verlos y filtrarlos:            <br/>                <ul style=""list-style: disc; padding-left: 35px;"">                    <li><b>eBay</b>: muestra la información de producto relacionada con eBay de modo que te resulte fácil buscar y modificar anuncios por lotes (por ejemplo, poner en venta, volver a poner en venta, modificar, detener, etc.).</li>                    <li><b>Magento</b>: muestra la información de producto relacionada con el catálogo de Magento, como la cantidad de Magento, el estado de existencias, etc.</li>                    <li><b>Configuración</b>: muestra información relacionada con la configuración de producto (por ejemplo, la configuración de venta, las categorías de eBay, etc.), para facilitar la realización de cambios en la configuración por lotes.</li>                </ul>            <br/>            * Los atributos se han eliminado de la configuración de los anuncios.            "
"Please check video tutorials to have quick overview of new UI.","Consulta los tutoriales en vídeo para obtener un resumen rápido de la nueva interfaz de usuario."
"3) Other improvements and changes","3) Otras mejoras y cambios"
